,DCIPT_ID,Descr,Descr_caps,english_name,wiki_search,DCIPT_ID_x,DCIPT_DESCR,g_translate
0,0.0,,,N/A,,,,
1,1.0,Acetilsalicilato de lisina,ACETILSALICILATO DE LISINA,Lysine,Lysine,,,
2,2.0,Aciclovir,ACICLOVIR,Acyclovir,,,,
3,3.0,Alopurinol,ALOPURINOL,Allopurinol,,,,
4,4.0,Alprazolam,ALPRAZOLAM,Alprazolam,,,,
5,5.0,Amicacina,AMICACINA,Amikacin,,,,
6,6.0,Hidroclorotiazida + Amilorida,HIDROCLOROTIAZIDA + AMILORIDA,associação,,,,
7,7.0,Amiodarona,AMIODARONA,Amiodarone,,,,
8,8.0,Amoxicilina,AMOXICILINA,Amoxicillin,,,,
9,9.0,Amoxicilina + Ácido clavulânico,AMOXICILINA + ÁCIDO CLAVULÂNICO,associação,,,,
10,11.0,Atenolol,ATENOLOL,Atenolol,,,,
11,12.0,Azatioprina,AZATIOPRINA,Azathioprine,,,,
12,14.0,Besilato de atracúrio,BESILATO DE ATRACÚRIO,Atracurium besilate,Atracurium besilate,,,
13,15.0,Bezafibrato,BEZAFIBRATO,Bezafibrate,,,,
14,16.0,Brometo de vecurónio,BROMETO DE VECURÓNIO,Vecuronium bromide,Vecuronium bromide,,,
15,17.0,Bromexina,BROMEXINA,Bromhexine,,,,
16,18.0,Bromocriptina,BROMOCRIPTINA,Bromocriptine,,,,
17,19.0,Budesonida,BUDESONIDA,Budesonide,,,,
18,20.0,Calcitriol,CALCITRIOL,Calcitriol,,,,
19,21.0,Captopril,CAPTOPRIL,Captopril,,,,
20,22.0,Captopril + Hidroclorotiazida,CAPTOPRIL + HIDROCLOROTIAZIDA,associação,,,,
21,23.0,Carbamazepina,CARBAMAZEPINA,Carbamazepine,,,,
22,24.0,Carboplatina,CARBOPLATINA,Carboplatin,,,,
23,25.0,Cefazolina,CEFAZOLINA,Cefazolin,,,,
24,26.0,Cefonicida,CEFONICIDA,Cefonicid,,,,
25,27.0,Cefotaxima,CEFOTAXIMA,Cefotaxime,,,,
26,28.0,Cefoxitina,CEFOXITINA,Cefoxitin,,,,
27,30.0,Ceftriaxona,CEFTRIAXONA,Ceftriaxone,,,,
28,31.0,Cefuroxima,CEFUROXIMA,Cefuroxime,,,,
29,32.0,Cetoprofeno,CETOPROFENO,Ketoprofen,,,,
30,33.0,Cimetidina,CIMETIDINA,Cimetidine,,,,
31,34.0,Cinarizina,CINARIZINA,Cinnarizine,,,,
32,35.0,Ciprofloxacina,CIPROFLOXACINA,Ciprofloxacin,,,,
33,36.0,Ciproterona,CIPROTERONA,Cyproterone acetate,,,,
34,37.0,Ciproterona + Etinilestradiol,CIPROTERONA + ETINILESTRADIOL,associação,,,,
35,38.0,Cisplatina,CISPLATINA,Cisplatin,,,,
36,39.0,Citarabina,CITARABINA,Cytarabine,,,,
37,40.0,Clindamicina,CLINDAMICINA,Clindamycin,,,,
38,41.0,Clorotalidona,CLOROTALIDONA,Chlorthalidone,,,,
39,42.0,Clotrimazol,CLOTRIMAZOL,Clotrimazole,,,,
40,43.0,Clozapina,CLOZAPINA,Clozapine,,,,
41,44.0,Desogestrel + Etinilestradiol,DESOGESTREL + ETINILESTRADIOL,associação,,,,
42,45.0,Diazepam,DIAZEPAM,Diazepam,,,,
43,46.0,Diclofenac,DICLOFENAC,Diclofenac,,,,
44,47.0,Dobutamina,DOBUTAMINA,Dobutamine,,,,
45,48.0,Doxazosina,DOXAZOSINA,Doxazosin,,,,
46,49.0,Doxorrubicina,DOXORRUBICINA,Doxorubicin,,,,
47,50.0,Enalapril,ENALAPRIL,Enalapril,,,,
48,51.0,Enalapril + Hidroclorotiazida,ENALAPRIL + HIDROCLOROTIAZIDA,associação,,,,
49,53.0,Espironolactona,ESPIRONOLACTONA,Spironolactone,,,,
50,54.0,Etofenamato,ETOFENAMATO,Etofenamate,,,,
51,55.0,Etoposido,ETOPOSIDO,Etoposide,,,,
52,56.0,Famotidina,FAMOTIDINA,Famotidine,,,,
53,57.0,Prilocaína + Felipressina,PRILOCAÍNA + FELIPRESSINA,associação,,,,
54,58.0,Flucloxacilina,FLUCLOXACILINA,Flucloxacillin,,,,
55,59.0,Fluorouracilo,FLUOROURACILO,Fluorouracil,,,,
56,60.0,Fluoxetina,FLUOXETINA,Fluoxetine,,,,
57,61.0,Flutamida,FLUTAMIDA,Flutamide,,,,
58,62.0,Fluvoxamina,FLUVOXAMINA,Fluvoxamine,,,,
59,63.0,Folinato de cálcio,FOLINATO DE CÁLCIO,calcium folinate,,63.0,Folinato de cálcio,calcium folinate
60,64.0,Bisoprolol,BISOPROLOL,Bisoprolol,,,,
61,65.0,Furosemida,FUROSEMIDA,Furosemide,,,,
62,66.0,Gentamicina,GENTAMICINA,Gentamicin,,,,
63,67.0,Gliclazida,GLICLAZIDA,Gliclazide,,,,
64,68.0,Glipizida,GLIPIZIDA,Glipizide,,,,
65,69.0,Gluconato de cálcio,GLUCONATO DE CÁLCIO,Calcium gluconate,Calcium gluconate,,,
66,70.0,Haloperidol,HALOPERIDOL,Haloperidol,,,,
67,71.0,Ibuprofeno,IBUPROFENO,Ibuprofen,,,,
68,72.0,Indometacina,INDOMETACINA,Indomethacin,,,,
69,73.0,Mononitrato de isossorbida,MONONITRATO DE ISOSSORBIDA,Isosorbide dinitrate,Isosorbide dinitrate,,,
70,74.0,Lisinopril,LISINOPRIL,Lisinopril,,,,
71,75.0,Loperamida,LOPERAMIDA,Loperamide,,,,
72,76.0,Lorazepam,LORAZEPAM,Lorazepam,,,,
73,77.0,Maprotilina,MAPROTILINA,Maprotiline,,,,
74,78.0,Metformina,METFORMINA,Metformin,,,,
75,79.0,Metotrexato,METOTREXATO,Methotrexate,,,,
76,80.0,Metronidazol,METRONIDAZOL,Metronidazole,,,,
77,81.0,Midazolam,MIDAZOLAM,Midazolam,,,,
78,82.0,Minociclina,MINOCICLINA,Minocycline,,,,
79,83.0,Minoxidil,MINOXIDIL,Minoxidil,,,,
80,84.0,Mitomicina,MITOMICINA,Mitomycin,,,,
81,85.0,Mitoxantrona,MITOXANTRONA,Mitoxantrone,,,,
82,86.0,Naltrexona,NALTREXONA,Naltrexone,,,,
83,87.0,Naproxeno,NAPROXENO,Naproxen,,,,
84,88.0,Nifedipina,NIFEDIPINA,Nifedipine,,,,
85,89.0,Nimodipina,NIMODIPINA,Nimodipine,,,,
